gvkey,year,leverage,mtbe,own
12825,1993,.041508223,1.89599412,.27719843
12261,1993,.054139594,1.105059812,.016027143
12136,1993,.055749524,1.841428844,.023751218
11949,1993,.021734563,1.127967693,.012516208
12142,1993,.05194096,13.24397342,.23394483
12141,1993,0,7.654534238,.27660426
1279,1993,.33754367,1.594269397,.000080899852
1300,1993,.147936098,4.690980335,.00063295464
12053,1993,.330296295,7.375223697,.0015137192
12515,1993,.45496876,2.658296465,.20062983
12380,1993,.086453662,4.316405303,.15087755
1408,1993,.152542995,1.576754813,.00069372571
15246,1993,.251387739,2.603895556,.0014001412
12216,1993,.00131812,6.338410301,.0077573103
12215,1993,0,1.815429634,.028326515
12252,1993,.004514984,1.437796571,.024232339
1789,1993,.275613498,.648478219,.0015031402
12262,1993,0,2.349241479,.22256254
1581,1993,.112102162,5.126418412,.00010123344
13779,1993,.027896535,2.455342981,.018210977
1598,1993,.306451642,3.365532342,.0019655665
12424,1993,0,1.082482648,.012126128
1722,1993,.242636372,1.533398012,.043293245
14134,1993,.287380647,.936199002,.0038226515
1848,1993,.29668536,2.748148629,.00005034573
12445,1993,.189420824,1.664089729,.0019729245
12587,1993,.001380755,6.632626986,.000062021129
12589,1993,.667503947,2.482952619,.088934749
16751,1993,.115854199,1.203282456,.007227221
12583,1993,.137626146,3.063503761,.079618648
2189,1993,.122228462,2.730076774,.00069416338
13553,1993,.626244611,9.544723544,.15048833
12679,1993,.027469409,4.100045565,.017798049
12840,1993,0,4.613130741,.5002197
12734,1993,.339889173,2.352664129,.064955845
2424,1993,.363201038,1.656253987,.00028178093
13232,1993,.49545212,1.092874453,.12865785
13184,1993,0,4.134292755,.00095130457
2436,1993,.175350574,2.646431885,.0055972757
2444,1993,.163583203,2.131558926,.0061239274
4001,1993,.367377598,.671247887,.039664678
2504,1993,.269310565,1.911364192,.00031715434
12850,1993,.098694119,9.216067258000001,.12566842
12842,1993,.346058857,1.702607514,.032173887
16920,1993,.174463219,.788165155,.014176262
12884,1993,.356950275,3.06684356,.026679875
14377,1993,.451217888,3.540864659,.033835046
2562,1993,.177383022,4.127398985,.00039077672
13374,1993,0,.944406289,.0077847354
13011,1993,.366949175,2.429869926,.0049291104
1164,1993,.209176351,1.774275132,.14793904
14489,1993,.087682379,1.77127331,.27372327
13081,1993,.539723068,.980231585,.081552491
14014,1993,.290393674,.890636303,.011467385
13283,1993,0,5.054344115,.14559391
13229,1993,.078425051,1.876549378,.033262722
3022,1993,.156764773,2.756221247,.00066692202
13315,1993,.029049821,1.894287398,.03374378
13318,1993,.286228262,.996935543,.00057530479
3144,1993,.118792114,12.63063703,.027000444
3206,1993,.000688853,.921719455,.00068953173
13333,1993,0,1.975542179,.028811883
13326,1993,0,5.093137182,.046432134
13369,1993,.077118052,1.513120224,.0084622214
13397,1993,0,5.051574138,.034979593
13406,1993,.01920084,2.154634794,.0016806271
13407,1993,.289755104,1.213460453,.011788101
13421,1993,.01179189,2.322552299,.028874705
3413,1993,.27398272,1.485487327,.000048354548
13429,1993,.037873268,2.383877758,.26241302
13500,1993,0,4.312034499,.10467515
