yyyymmdd,yyyy,deal_value,public,private,tender_offer,all_stock,carbidder,bidder_size,sigma_bidder,run_up_bidder,hostile,horz,relsize,bidder_mtb,bidder_fcf,bidder_lev
20140908,2014,816.04999,1,0,1,0,-0.0091865,32700000,0.0087418,0.9538421,0,1,0.025406288,2.1707938,0.080416664,0.27752456
20140905,2014,71.169998,0,1,0,0,-0.0007647,290119.81,0.033338301,1.282759,0,0,0.28813764,1.0255018,0.092080727,0.063760959
20140904,2014,19.440001,0,1,0,0,0.0072607,337361.31,0.031024,0.90577519,0,1,0.062307693,4.1411591,-0.32123572,0.061522041
20140904,2014,440,0,1,0,0,0.114068,1595225,0.0256235,1.672114,0,1,0.27295285,2.344455,0.067450814,0.27731124
20140903,2014,493.10001,0,1,0,0,0.0152629,16000000,0.0102801,1.047272,0,0,0.031399645,1.6460489,0.036948159,0.31087169
20140903,2014,41.509998,1,0,0,1,-0.073669299,466789.41,0.047232401,1.182551,0,1,0.10455919,1.4330037,-0.038290642,0.076408163
20140903,2014,191.24001,1,0,0,0,0.0124107,3634865,0.0110817,0.94957972,0,0,0.05546404,1.7195566,0.067064084,0.19955654
20140902,2014,160,0,1,0,0,0.045854699,1682228,0.018120799,0.79156297,0,1,0.094674557,3.229147,0.043124214,0.19211446
20140902,2014,142.5,1,0,0,0,0.225476,162987,0.021583101,0.89522427,0,1,0.43181819,1.9040236,0.062869646,0
20140825,2014,377.31,0,1,0,0,0.0078251,4429101,0.0091932,0.90499538,0,0,0.090395302,1.6410277,0.055385496,0.23779538
20140824,2014,13396.6,1,0,0,1,0.16399769,9435404,0.0106904,1.228242,0,1,0.66084254,2.1197283,0.040096082,0.50709444
20140819,2014,55.200001,0,1,0,0,0.049417101,954803.5,0.0181552,0.97739887,0,0,0.060393874,1.7266825,0.088766932,0.098070204
20140818,2014,2.0999999,0,1,0,0,-0.0646578,57213.5,0.1103581,3.328759,0,1,0.038181815,3.4597709,-1.1932774,0
20140812,2014,18,0,1,0,0,0.033747099,1201953,0.0145735,1.247348,0,1,0.014657981,1.6044872,0.040717278,0.22173497
20140811,2014,29.73,0,1,0,1,0.044653401,217906.91,0.038481802,1.328516,0,0,0.15404145,1.6795781,-0.4985337,0
20140810,2014,5288.5,1,0,0,0,0.1095469,35900000,0.0106145,0.95274949,0,1,0.14435256,1.3193638,0.035858218,0.45071492
20140808,2014,16.82,0,1,0,0,-0.1781826,427254.31,0.028382899,0.68454063,0,0,0.020587515,1.0054817,-0.025961025,0.10463551
20140805,2014,236.02,0,1,0,0,-0.3471261,811780.19,0.049613498,0.34104329,0,0,0.27540258,8.89575,-0.08813177,0.084123485
20140801,2014,5134.4399,1,0,0,0,-0.0189695,731481,0.0313459,0.48880631,0,0,5.4738164,1.2518007,-0.006035031,0.74546784
20140730,2014,100,0,1,0,0,-0.27432439,295583.69,0.039344501,2.110023,0,1,0.21551724,3.9630942,-0.22881015,0
20140730,2014,529.41998,1,0,0,1,0.046797499,862217.88,0.024234399,0.98662978,0,1,0.44191986,1.6946841,-0.000749382,0.20494136
20140729,2014,2.3800001,0,1,0,0,0.0225373,27601.65,0.019803399,0.87568289,0,0,0.085000001,0.75684381,0.060573619,0.12965572
