"","permno","car","event_date","PQS","VOL","EXCH"
"1",10108,0.023,20020722,0.434174786120733,0.270672477648346,"N"
"2",10299,0.21,20000403,0.268683131137316,0.698350857201521,"Q"
"3",10324,0.014,20011214,-0.41183603248048,0.191888647328476,"Q"
"4",10562,0.021,20040701,-0.40894309504283,-0.328953456267663,"N"
"5",10696,-0.012,20010402,-0.656960262404037,0.11343216169047,"Q"
"6",10725,0.081,20000619,-0.768323209274627,0.00352431062073078,"N"
"7",10909,-0.007,20100430,0.00197889233664394,0.319411424083743,"Q"
"8",11403,-0.047,20170918,-0.16764784573374,0.170939115783811,"Q"
"9",11415,-0.105,20060227,-0.256078521899174,0.414511564013595,"N"
"10",11552,0.136,20061106,-0.0256599289744531,0.0231292158396494,"Q"
"11",11600,-0.104,20081114,-0.622721523747725,0.222444185020637,"Q"
"12",11618,-0.03,20080915,0.164793399882705,0.63064303591852,"Q"
"13",11786,-0.06,20180319,-0.318071615529192,0.308205136047902,"Q"
"14",11891,-0.022,20170726,0.00647693077545353,0.289738636426747,"N"
"15",11896,-0.006,20000510,-0.178940174593277,-0.0462547286264481,"Q"
"16",11970,0.031,20000601,-0.0262163562373792,0.0620772949830914,"Q"
"17",11983,0.269,20000131,-0.0212024852002245,1.22673227252485,"Q"
"18",12062,0.074,20041101,-0.278849920582385,0.0647523821482701,"N"
"19",12067,-0.172,20000619,-0.227825078221551,-0.0671108504719137,"Q"
"20",12073,0.154,20081113,-0.608781386655635,0.105647427398855,"Q"
"21",12308,0.08,20160908,-0.0977017066288727,0.102137957896125,"Q"
"22",12369,-0.02,20130607,-0.134475296579267,0.0251996571009769,"N"
"23",12558,-0.115,20120525,-0.124844000655554,2.20829384791746,"N"
"24",12622,-0.127,20150127,-0.220419566114775,-0.130560745656952,"N"
"25",12623,-0.068,20180103,-0.200890405107073,1.16410295662436,"N"
"26",12650,-0.048,20130524,0.0230393658992258,-0.154026858861804,"N"
"27",12981,0.007,20160624,-0.165411077887689,0.214412884302778,"N"
"28",13407,0.105,20131223,-0.189501008210647,-0.241053986356421,"Q"
"29",13911,0.046,20170829,-0.0851985077464246,0.47168527765412,"N"
"30",13936,-0.032,20130214,-0.172065738091081,0.193513455702464,"N"
"31",13964,-0.012,20150921,-0.0264284806211579,-0.289775918544476,"Q"
"32",13983,-0.038,20161003,0.0227825703554476,2.80361498877202,"N"
"33",14295,0.115,20180607,-0.202777081864069,-0.0650111296044784,"N"
"34",14338,-0.119,20170619,-0.0691058074823527,0.0490505229046239,"N"
"35",14776,-0.033,20151118,-0.226179929360494,1.7377982595966,"N"
"36",14889,-0.158,20160201,0.22844716478535,-0.077726540668652,"N"
"37",15456,-0.066,20160404,0.114788281420676,-0.032734716427225,"N"
"38",15553,0.018,20111213,-0.290837214994046,0.0833811616542586,"N"
"39",19166,-0.032,20090819,-0.078573380920494,-0.283104074093312,"N"
"40",20415,-0.041,20070827,0.138396343223256,0.0690547603628462,"N"
"41",21020,0.024,20150323,0.111626871548404,0.0318465081962522,"Q"
"42",22032,-0.005,20041220,-0.210889396832709,0.187932208651801,"Q"
"43",23085,-0.045,20090102,0.266419930632263,0.0460491966146026,"N"
"44",23318,0.132,20001124,0.015378338585228,0.132424908989341,"Q"
"45",23393,-0.027,20151229,-0.172233220656234,0.649046591219361,"N"
"46",23501,0.06,20071109,-0.682244702645247,0.844978094986928,"N"
"47",23536,0.096,20081031,0.287342954884818,0.250915565422416,"N"
"48",23660,-0.161,20010301,-0.585892247554433,-0.0790755068349752,"Q"
"49",23887,0.019,20010227,0.0510560142425978,0.953709172359227,"N"
"50",24053,0.009,20180605,-0.0202939326214895,1.91506422556148,"N"
"51",24328,0.053,20081219,-0.211141229005346,-0.00267904590410872,"N"
"52",24360,-0.019,20000821,-0.458334735782352,0.143727042226051,"N"
"53",25099,0.008,20070222,0.0541291379801545,0.460574758350667,"N"
"54",25232,-0.059,20100315,-0.195316581834715,0.403446023699188,"N"
"55",25582,-0.016,20080922,1.08974546559226,0.457155919611392,"N"
"56",26332,-0.101,20010402,-0.209325041353074,0.405616991572288,"Q"
"57",26382,-0.008,20080623,-0.246113315946813,1.32373895258818,"N"
"58",27043,0.019,20070212,-0.386220311018431,0.199059623718293,"N"
"59",27422,0.064,20091221,-0.315012925145545,0.295164165783652,"N"
"60",27756,-0.003,20061201,0.056031571236594,0.134341438887273,"N"
"61",28345,-0.036,20050815,-0.388695889892752,0.787411517122632,"N"
"62",28804,-0.092,20160513,0.241903669125341,0.285732803050986,"N"
"63",29102,-0.058,20001018,2.59315086337424,0.122935523577667,"A"
"64",30940,-0.053,20081002,0.955556596346098,0.553041259669656,"N"
"65",32707,-0.171,20100301,-0.272416565291872,0.345248387388369,"N"
"66",32870,0.005,20090304,-0.0594614540395485,0.0487562591129655,"N"
"67",35554,0.029,20040227,-0.0409895684885196,0.201919621639793,"N"
"68",36397,0.072,20020506,-0.629690492969952,0.00123354423399769,"N"
"69",37161,-0.001,20011010,0.422695196815881,0.614434643984604,"N"
"70",37284,0.028,20070927,-0.201495564508086,0.203482552801824,"N"
"71",38093,-0.014,20160531,-0.126850837101391,0.437713935792041,"N"
"72",38762,-0.016,20001102,3.06872168477699,-0.55690075395164,"N"
"73",40125,0.104,20170404,-0.0339245503012883,0.352701298264726,"N"
"74",42585,-0.076,20081106,1.11703027253012,1.48469990390022,"N"
"75",42877,-0.024,20150701,0.0404373679286538,0.370012137796588,"Q"
"76",43610,0.545,20010921,-0.981691624102202,0.703534805834579,"Q"
